Task,GraspType,Object,Reponses,Instruction
Hold,Lateral,Acorn,1,How would you hold an acorn?
Hold,MediumWrap,Acorn,6,How would you hold an acorn?
Hold,Tripod,Acorn,9,How would you hold an acorn?
Hold,Writing,Acorn,4,How would you hold an acorn?
Hold,Lateral,Apple,1,How would you hold an apple?
Hold,MediumWrap,Apple,17,How would you hold an apple?
Hold,Tripod,Apple,1,How would you hold an apple?
Hold,Writing,Apple,1,How would you hold an apple?
Hold,Lateral,Apricot,0,How would you hold an apricot?
Hold,MediumWrap,Apricot,18,How would you hold an apricot?
Hold,Tripod,Apricot,2,How would you hold an apricot?
Hold,Writing,Apricot,0,How would you hold an apricot?
Hold,Lateral,Avocado,0,How would you hold an avocado?
Hold,MediumWrap,Avocado,14,How would you hold an avocado?
Hold,Tripod,Avocado,5,How would you hold an avocado?
Hold,Writing,Avocado,1,How would you hold an avocado?
Hold,Lateral,Ballpoint pen,1,How would you hold a ballpoint pen?
Hold,MediumWrap,Ballpoint pen,0,How would you hold a ballpoint pen?
Hold,Tripod,Ballpoint pen,2,How would you hold a ballpoint pen?
Hold,Writing,Ballpoint pen,17,How would you hold a ballpoint pen?
Hold,Lateral,Banana,4,How would you hold a banana?
Hold,MediumWrap,Banana,11,How would you hold a banana?
Hold,Tripod,Banana,5,How would you hold a banana?
Hold,Writing,Banana,0,How would you hold a banana?
Hold,Lateral,Banknote,1,How would you hold a banknote?
Hold,MediumWrap,Banknote,0,How would you hold a banknote?
Hold,Tripod,Banknote,1,How would you hold a banknote?
Hold,Writing,Banknote,18,How would you hold a banknote?
Hold,Lateral,Barrette,0,How would you hold a barrette?
Hold,MediumWrap,Barrette,1,How would you hold a barrette?
Hold,Tripod,Barrette,6,How would you hold a barrette?
Hold,Writing,Barrette,13,How would you hold a barrette?
Hold,Lateral,Battery,2,How would you hold a battery?
Hold,MediumWrap,Battery,0,How would you hold a battery?
Hold,Tripod,Battery,13,How would you hold a battery?
Hold,Writing,Battery,5,How would you hold a battery?
Hold,Lateral,Bead,1,How would you hold a bead?
Hold,MediumWrap,Bead,1,How would you hold a bead?
Hold,Tripod,Bead,6,How would you hold a bead?
Hold,Writing,Bead,12,How would you hold a bead?
