Task,GraspType,Object,Reponses,Instruction
Pick,Lateral,Acorn,1,How would you pick an acorn that is placed on a flat surface?
Pick,MediumWrap,Acorn,6,How would you pick an acorn that is placed on a flat surface?
Pick,Tripod,Acorn,12,How would you pick an acorn that is placed on a flat surface?
Pick,Writing,Acorn,1,How would you pick an acorn that is placed on a flat surface?
Pick,Lateral,Apple,0,How would you pick an apple that is placed on a flat surface?
Pick,MediumWrap,Apple,20,How would you pick an apple that is placed on a flat surface?
Pick,Tripod,Apple,0,How would you pick an apple that is placed on a flat surface?
Pick,Writing,Apple,0,How would you pick an apple that is placed on a flat surface?
Pick,Lateral,Apricot,1,How would you pick an apricot that is placed on a flat surface?
Pick,MediumWrap,Apricot,19,How would you pick an apricot that is placed on a flat surface?
Pick,Tripod,Apricot,0,How would you pick an apricot that is placed on a flat surface?
Pick,Writing,Apricot,0,How would you pick an apricot that is placed on a flat surface?
Pick,Lateral,Avocado,1,How would you pick an avocado that is placed on a flat surface?
Pick,MediumWrap,Avocado,11,How would you pick an avocado that is placed on a flat surface?
Pick,Tripod,Avocado,5,How would you pick an avocado that is placed on a flat surface?
Pick,Writing,Avocado,3,How would you pick an avocado that is placed on a flat surface?
Pick,Lateral,Ballpoint pen,1,How would you pick a ballpoint pen that is placed on a flat surface?
Pick,MediumWrap,Ballpoint pen,0,How would you pick a ballpoint pen that is placed on a flat surface?
Pick,Tripod,Ballpoint pen,5,How would you pick a ballpoint pen that is placed on a flat surface?
Pick,Writing,Ballpoint pen,14,How would you pick a ballpoint pen that is placed on a flat surface?
Pick,Lateral,Banana,4,How would you pick a banana that is placed on a flat surface?
Pick,MediumWrap,Banana,9,How would you pick a banana that is placed on a flat surface?
Pick,Tripod,Banana,5,How would you pick a banana that is placed on a flat surface?
Pick,Writing,Banana,1,How would you pick a banana that is placed on a flat surface?
Pick,Lateral,Banknote,0,How would you pick a banknote that is placed on a flat surface?
Pick,MediumWrap,Banknote,1,How would you pick a banknote that is placed on a flat surface?
Pick,Tripod,Banknote,3,How would you pick a banknote that is placed on a flat surface?
Pick,Writing,Banknote,16,How would you pick a banknote that is placed on a flat surface?
Pick,Lateral,Barrette,0,How would you pick a barrette that is placed on a flat surface?
Pick,MediumWrap,Barrette,0,How would you pick a barrette that is placed on a flat surface?
Pick,Tripod,Barrette,10,How would you pick a barrette that is placed on a flat surface?
Pick,Writing,Barrette,10,How would you pick a barrette that is placed on a flat surface?
Pick,Lateral,Battery,1,How would you pick a battery that is placed on a flat surface?
Pick,MediumWrap,Battery,0,How would you pick a battery that is placed on a flat surface?
Pick,Tripod,Battery,14,How would you pick a battery that is placed on a flat surface?
Pick,Writing,Battery,5,How would you pick a battery that is placed on a flat surface?
Pick,Lateral,Bead,0,How would you pick a bead that is placed on a flat surface?
Pick,MediumWrap,Bead,0,How would you pick a bead that is placed on a flat surface?
Pick,Tripod,Bead,8,How would you pick a bead that is placed on a flat surface?
Pick,Writing,Bead,12,How would you pick a bead that is placed on a flat surface?
Pick,Lateral,Beer bottle,5,How would you pick a beer bottle that is placed on a flat surface?
Pick,MediumWrap,Beer bottle,13,How would you pick a beer bottle that is placed on a flat surface?
Pick,Tripod,Beer bottle,1,How would you pick a beer bottle that is placed on a flat surface?
Pick,Writing,Beer bottle,1,How would you pick a beer bottle that is placed on a flat surface?
Pick,Lateral,Billiard ball,1,How would you pick a billiard ball that is placed on a flat surface?
Pick,MediumWrap,Billiard ball,10,How would you pick a billiard ball that is placed on a flat surface?
Pick,Tripod,Billiard ball,8,How would you pick a billiard ball that is placed on a flat surface?
Pick,Writing,Billiard ball,1,How would you pick a billiard ball that is placed on a flat surface?
Pick,Lateral,Book,1,How would you pick a book that is placed on a flat surface?
Pick,MediumWrap,Book,9,How would you pick a book that is placed on a flat surface?
Pick,Tripod,Book,10,How would you pick a book that is placed on a flat surface?
